spm_resources_pp_decile,state,net_per_dollar_ca_state,funding,current_resources,monthly_ca,net_chg,pct_chg
1,Alabama,0.8675484190722393,federal,9531.187959746856,0,0.0,0.0
1,Alabama,0.8128028220213237,state,9531.187959746856,0,0.0,0.0
1,Alaska,1.068615378706274,federal,8956.842221574785,0,0.0,0.0
1,Alaska,1.0297901033766443,state,8956.842221574785,0,0.0,0.0
1,Arizona,1.0461164086020014,federal,11604.182037531511,0,0.0,0.0
1,Arizona,1.0461764189919587,state,11604.182037531511,0,0.0,0.0
1,Arkansas,0.7996417185238213,federal,9568.528041530988,0,0.0,0.0
1,Arkansas,0.6350500654397702,state,9568.528041530988,0,0.0,0.0
1,California,0.8814241911103196,federal,10114.209715131414,0,0.0,0.0
1,California,0.8742621886143935,state,10114.209715131414,0,0.0,0.0
1,Colorado,0.7482356120535429,federal,6563.13417736585,0,0.0,0.0
1,Colorado,0.82365963672083,state,6563.13417736585,0,0.0,0.0
1,Connecticut,0.7997493593798097,federal,9627.724535536947,0,0.0,0.0
1,Connecticut,0.8526100366497462,state,9627.724535536947,0,0.0,0.0
1,Delaware,0.6009814662121241,federal,5041.322481755169,0,0.0,0.0
1,Delaware,0.8220703345779234,state,5041.322481755169,0,0.0,0.0
1,District of Columbia,0.4352026994751142,federal,6024.217675046347,0,0.0,0.0
1,District of Columbia,0.5695225098521316,state,6024.217675046347,0,0.0,0.0
1,Florida,0.64531068822065,federal,7950.531342314293,0,0.0,0.0
1,Florida,0.5834165290531957,state,7950.531342314293,0,0.0,0.0
1,Georgia,0.9173559034926438,federal,9168.708901572245,0,0.0,0.0
1,Georgia,0.8297534342531376,state,9168.708901572245,0,0.0,0.0
1,Hawaii,0.742213825451785,federal,8707.581858416544,0,0.0,0.0
1,Hawaii,0.8729690668175752,state,8707.581858416544,0,0.0,0.0
1,Idaho,0.8526638906433954,federal,8947.827116994024,0,0.0,0.0
1,Idaho,0.8239973403108919,state,8947.827116994024,0,0.0,0.0
1,Illinois,0.8074511861305093,federal,9404.577727465541,0,0.0,0.0
1,Illinois,0.857645672633601,state,9404.577727465541,0,0.0,0.0
1,Indiana,1.0672760726226735,federal,10941.436535657942,0,0.0,0.0
1,Indiana,1.0589701799594506,state,10941.436535657942,0,0.0,0.0
1,Iowa,1.0059203210659076,federal,9062.397960058024,0,0.0,0.0
1,Iowa,1.1059693153327081,state,9062.397960058024,0,0.0,0.0
1,Kansas,0.8829019400655175,federal,8678.3492015628,0,0.0,0.0
1,Kansas,0.9615325984019625,state,8678.3492015628,0,0.0,0.0
1,Kentucky,0.7619938524301694,federal,9152.632672685228,0,0.0,0.0
1,Kentucky,0.68659294985873,state,9152.632672685228,0,0.0,0.0
1,Louisiana,0.96353656677976,federal,10165.54300648694,0,0.0,0.0
1,Louisiana,0.8644741010272818,state,10165.54300648694,0,0.0,0.0
1,Maine,0.7138280589037744,federal,9308.150605967347,0,0.0,0.0
1,Maine,0.7315143843353922,state,9308.150605967347,0,0.0,0.0
1,Maryland,0.5750179312383772,federal,7108.315738712529,0,0.0,0.0
1,Maryland,0.6462449528579025,state,7108.315738712529,0,0.0,0.0
1,Massachusetts,0.512297714303278,federal,7394.347443397651,0,0.0,0.0
1,Massachusetts,0.6110257530776392,state,7394.347443397651,0,0.0,0.0
1,Michigan,0.8373839603285801,federal,8732.9835868323,0,0.0,0.0
1,Michigan,0.8570724481065803,state,8732.9835868323,0,0.0,0.0
1,Minnesota,0.9357904756329256,federal,11025.416424271792,0,0.0,0.0
1,Minnesota,1.10581973054676,state,11025.416424271792,0,0.0,0.0
1,Mississippi,0.9360554111455125,federal,10554.980988506028,0,0.0,0.0
1,Mississippi,0.6819248254381146,state,10554.980988506028,0,0.0,0.0
1,Missouri,0.8472750251591687,federal,7899.313977550709,0,0.0,0.0
1,Missouri,0.8928925867606772,state,7899.313977550709,0,0.0,0.0
1,Montana,0.7400265300805315,federal,7777.733670523251,0,0.0,0.0
1,Montana,0.7813551503635303,state,7777.733670523251,0,0.0,0.0
1,Nebraska,1.1800275208197089,federal,10945.6856554675,0,0.0,0.0
1,Nebraska,1.1754608605209078,state,10945.6856554675,0,0.0,0.0
1,Nevada,0.8011892319826014,federal,9195.748067755816,0,0.0,0.0
1,Nevada,0.7769154439916904,state,9195.748067755816,0,0.0,0.0
1,New Hampshire,0.566773645877328,federal,7384.867008815599,0,0.0,0.0
1,New Hampshire,0.7074503960307381,state,7384.867008815599,0,0.0,0.0
1,New Jersey,0.7692793495356264,federal,9085.545851284896,0,0.0,0.0
1,New Jersey,0.8720501141034548,state,9085.545851284896,0,0.0,0.0
1,New Mexico,0.987593917371552,federal,12657.183156204459,0,0.0,0.0
1,New Mexico,0.7985061553444188,state,12657.183156204459,0,0.0,0.0
1,New York,0.8129350365172676,federal,8227.732266541578,0,0.0,0.0
1,New York,0.8671484376886677,state,8227.732266541578,0,0.0,0.0
1,North Carolina,0.7780120593869642,federal,9271.19602187974,0,0.0,0.0
1,North Carolina,0.6220318419763079,state,9271.19602187974,0,0.0,0.0
1,North Dakota,0.8200702461545356,federal,8563.899556282793,0,0.0,0.0
1,North Dakota,0.8377255525745914,state,8563.899556282793,0,0.0,0.0
1,Ohio,0.9923248389915839,federal,10931.662450594438,0,0.0,0.0
1,Ohio,1.0254281234570728,state,10931.662450594438,0,0.0,0.0
1,Oklahoma,0.9860494649673937,federal,10864.887889151176,0,0.0,0.0
1,Oklahoma,0.9035477428152761,state,10864.887889151176,0,0.0,0.0
1,Oregon,0.6964289583590341,federal,7432.906989632102,0,0.0,0.0
1,Oregon,0.7401049316183886,state,7432.906989632102,0,0.0,0.0
1,Pennsylvania,0.8510852547846766,federal,8335.413692769696,0,0.0,0.0
1,Pennsylvania,0.9005940457708744,state,8335.413692769696,0,0.0,0.0
1,Rhode Island,0.8968210259123265,federal,9294.69697527265,0,0.0,0.0
1,Rhode Island,1.088454941188556,state,9294.69697527265,0,0.0,0.0
1,South Carolina,0.856810369569946,federal,9145.378721767289,0,0.0,0.0
1,South Carolina,0.7462669396383521,state,9145.378721767289,0,0.0,0.0
1,South Dakota,1.0412068525838354,federal,11393.909640179394,0,0.0,0.0
1,South Dakota,1.055298158265674,state,11393.909640179394,0,0.0,0.0
1,Tennessee,0.7994905213148195,federal,9669.15148022495,0,0.0,0.0
1,Tennessee,0.7691694473386487,state,9669.15148022495,0,0.0,0.0
1,Texas,0.9822607893348244,federal,10194.349205232349,0,0.0,0.0
1,Texas,0.8831455424595331,state,10194.349205232349,0,0.0,0.0
1,Utah,1.253118864426958,federal,10670.897574022305,0,0.0,0.0
1,Utah,1.2445472316667179,state,10670.897574022305,0,0.0,0.0
1,Vermont,0.7507020343186929,federal,6228.379256629699,0,0.0,0.0
1,Vermont,0.7412214721820589,state,6228.379256629699,0,0.0,0.0
1,Virginia,0.8797300371414244,federal,9839.676249072134,0,0.0,0.0
1,Virginia,0.8920567931665812,state,9839.676249072134,0,0.0,0.0
1,Washington,0.7498217958685949,federal,7786.996738717598,0,0.0,0.0
1,Washington,0.9256250318229533,state,7786.996738717598,0,0.0,0.0
1,West Virginia,0.774906510724331,federal,9839.541182093788,0,0.0,0.0
1,West Virginia,0.746453121466992,state,9839.541182093788,0,0.0,0.0
1,Wisconsin,0.9828526013757134,federal,10237.918576669053,0,0.0,0.0
1,Wisconsin,1.0902229117254232,state,10237.918576669053,0,0.0,0.0
1,Wyoming,0.8641338702720307,federal,7174.349169177063,0,0.0,0.0
1,Wyoming,0.8137251726630952,state,7174.349169177063,0,0.0,0.0
2,Alabama,0.8176072854194616,federal,24595.689555774214,0,0.0,0.0
2,Alabama,0.9003654832496547,state,24595.689555774214,0,0.0,0.0
2,Alaska,1.419723842265218,federal,31454.797410328916,0,0.0,0.0
2,Alaska,1.3701255360408389,state,31454.797410328916,0,0.0,0.0
2,Arizona,1.072133384296341,federal,28256.897863534636,0,0.0,0.0
2,Arizona,1.0625233779347922,state,28256.897863534636,0,0.0,0.0
2,Arkansas,0.8271838272898919,federal,23891.45263738806,0,0.0,0.0
2,Arkansas,1.0304526923544441,state,23891.45263738806,0,0.0,0.0
2,California,1.0880133517599864,federal,29982.575698167755,0,0.0,0.0
2,California,1.1032581108114667,state,29982.575698167755,0,0.0,0.0
2,Colorado,0.9302739294738268,federal,26140.421739739297,0,0.0,0.0
2,Colorado,0.8721293964211627,state,26140.421739739297,0,0.0,0.0
2,Connecticut,0.8482307741451093,federal,26294.911858114483,0,0.0,0.0
2,Connecticut,0.794447705842735,state,26294.911858114483,0,0.0,0.0
2,Delaware,1.0680078380287372,federal,29109.955263451633,0,0.0,0.0
2,Delaware,0.8387220523883837,state,29109.955263451633,0,0.0,0.0
2,District of Columbia,0.942948270999639,federal,24815.420840480914,0,0.0,0.0
2,District of Columbia,0.7548530100656196,state,24815.420840480914,0,0.0,0.0
2,Florida,0.8120552916682363,federal,24971.77904431344,0,0.0,0.0
2,Florida,0.9100178242461819,state,24971.77904431344,0,0.0,0.0
2,Georgia,1.0737088171182356,federal,27295.54967392928,0,0.0,0.0
2,Georgia,1.23272603633425,state,27295.54967392928,0,0.0,0.0
2,Hawaii,1.2203167892203721,federal,33020.179092422375,0,0.0,0.0
2,Hawaii,1.0736708129380084,state,33020.179092422375,0,0.0,0.0
2,Idaho,1.3243007072602686,federal,30433.01058841036,0,0.0,0.0
2,Idaho,1.328713116543506,state,30433.01058841036,0,0.0,0.0
2,Illinois,0.9975379689690603,federal,26841.132592087735,0,0.0,0.0
2,Illinois,0.9530678210604213,state,26841.132592087735,0,0.0,0.0
2,Indiana,1.0190185533481424,federal,26776.232028270835,0,0.0,0.0
2,Indiana,0.9768323056044804,state,26776.232028270835,0,0.0,0.0
2,Iowa,1.1362739450068757,federal,27779.380428660636,0,0.0,0.0
2,Iowa,0.9269464955205028,state,27779.380428660636,0,0.0,0.0
2,Kansas,1.3861984797127154,federal,30507.84713930405,0,0.0,0.0
2,Kansas,1.2197686772938368,state,30507.84713930405,0,0.0,0.0
2,Kentucky,0.8273920595910389,federal,24508.807581177905,0,0.0,0.0
2,Kentucky,0.9584275870429132,state,24508.807581177905,0,0.0,0.0
2,Louisiana,0.920199370954113,federal,24425.958080100885,0,0.0,0.0
2,Louisiana,1.1382086097508028,state,24425.958080100885,0,0.0,0.0
2,Maine,0.707690051324703,federal,22683.4500005812,0,0.0,0.0
2,Maine,0.704435975077702,state,22683.4500005812,0,0.0,0.0
2,Maryland,0.9649946427739842,federal,28612.183164881626,0,0.0,0.0
2,Maryland,0.943841739350839,state,28612.183164881626,0,0.0,0.0
2,Massachusetts,0.8409752647387058,federal,25066.685204276477,0,0.0,0.0
2,Massachusetts,0.7515693451819349,state,25066.685204276477,0,0.0,0.0
2,Michigan,0.9913410585566281,federal,25914.02628783441,0,0.0,0.0
2,Michigan,0.9277935494743336,state,25914.02628783441,0,0.0,0.0
2,Minnesota,1.229257098791327,federal,28377.912391081638,0,0.0,0.0
2,Minnesota,0.9114312625658076,state,28377.912391081638,0,0.0,0.0
2,Mississippi,0.8003832615512712,federal,23635.2443323909,0,0.0,0.0
2,Mississippi,1.1908816517640528,state,23635.2443323909,0,0.0,0.0
2,Missouri,1.0163006199217537,federal,26263.482096538097,0,0.0,0.0
2,Missouri,0.9768639657389948,state,26263.482096538097,0,0.0,0.0
2,Montana,0.9270014868194483,federal,25049.416267127715,0,0.0,0.0
2,Montana,0.8827228656043193,state,25049.416267127715,0,0.0,0.0
2,Nebraska,1.2180837573511136,federal,28773.38088077908,0,0.0,0.0
2,Nebraska,1.1643003028049674,state,28773.38088077908,0,0.0,0.0
2,Nevada,0.988551293996527,federal,27409.77661568186,0,0.0,0.0
2,Nevada,1.0191706153627893,state,27409.77661568186,0,0.0,0.0
2,New Hampshire,0.8581444973736293,federal,25673.908704641053,0,0.0,0.0
2,New Hampshire,0.7626178457349501,state,25673.908704641053,0,0.0,0.0
2,New Jersey,0.9518406741080098,federal,28477.455370586307,0,0.0,0.0
2,New Jersey,0.7922955415070755,state,28477.455370586307,0,0.0,0.0
2,New Mexico,0.8892061969965529,federal,25225.796912971233,0,0.0,0.0
2,New Mexico,1.1731495673363177,state,25225.796912971233,0,0.0,0.0
2,New York,0.9792367149388019,federal,28234.581865610744,0,0.0,0.0
2,New York,0.8947901919852624,state,28234.581865610744,0,0.0,0.0
2,North Carolina,0.9128595096300018,federal,25414.365779654538,0,0.0,0.0
2,North Carolina,1.0404386107296348,state,25414.365779654538,0,0.0,0.0
2,North Dakota,1.0752764545312044,federal,26544.6126239214,0,0.0,0.0
2,North Dakota,0.9479894686793754,state,26544.6126239214,0,0.0,0.0
2,Ohio,0.9605734749664406,federal,24082.50347257247,0,0.0,0.0
2,Ohio,0.881752974132194,state,24082.50347257247,0,0.0,0.0
2,Oklahoma,1.1599830728107445,federal,28452.024310885154,0,0.0,0.0
2,Oklahoma,1.2463965553124008,state,28452.024310885154,0,0.0,0.0
2,Oregon,0.9955704309172744,federal,26252.936667252343,0,0.0,0.0
2,Oregon,0.9595177598214552,state,26252.936667252343,0,0.0,0.0
2,Pennsylvania,0.8573045925271622,federal,25456.20058893488,0,0.0,0.0
2,Pennsylvania,0.8224288260903279,state,25456.20058893488,0,0.0,0.0
2,Rhode Island,1.08599155669418,federal,26882.121052542316,0,0.0,0.0
2,Rhode Island,0.8621633931097687,state,26882.121052542316,0,0.0,0.0
2,South Carolina,0.9657161001773708,federal,26182.6046075618,0,0.0,0.0
2,South Carolina,1.148155879757474,state,26182.6046075618,0,0.0,0.0
2,South Dakota,1.1249797076017558,federal,27693.821740460557,0,0.0,0.0
2,South Dakota,1.0180726207744655,state,27693.821740460557,0,0.0,0.0
2,Tennessee,0.9276986734814282,federal,25187.728394456626,0,0.0,0.0
2,Tennessee,0.9568874480372445,state,25187.728394456626,0,0.0,0.0
2,Texas,1.1358981856459185,federal,28784.44249937726,0,0.0,0.0
2,Texas,1.1996505089527276,state,28784.44249937726,0,0.0,0.0
2,Utah,1.5664540979667372,federal,34470.19588160056,0,0.0,0.0
2,Utah,1.517053342560029,state,34470.19588160056,0,0.0,0.0
2,Vermont,0.7069831398759377,federal,22068.26591470315,0,0.0,0.0
2,Vermont,0.6596219894097693,state,22068.26591470315,0,0.0,0.0
2,Virginia,0.9464543008231212,federal,25599.85904943447,0,0.0,0.0
2,Virginia,0.8366008165483309,state,25599.85904943447,0,0.0,0.0
2,Washington,1.1672463536156894,federal,30089.160255743172,0,0.0,0.0
2,Washington,0.9605756366970559,state,30089.160255743172,0,0.0,0.0
2,West Virginia,0.7947464732925233,federal,24558.294702594838,0,0.0,0.0
2,West Virginia,0.8620265451644591,state,24558.294702594838,0,0.0,0.0
2,Wisconsin,1.2813766566685143,federal,28762.702622037777,0,0.0,0.0
2,Wisconsin,1.0155739614095962,state,28762.702622037777,0,0.0,0.0
